Title,Post Id,Name of poster,Id of poster,Time,Question score,Question views,Question answers,Tags,Closed,Accepted answer
How to randomize the coordinates of a /clone,401614,JustAzm,294753,Feb 14 at 13:02,0,22,1,"['pc', 'controllers']",True,False
How to play with more than 4 controllers in the same pc?,401613,Ariees Andromeda,280254,Feb 14 at 10:59,0,61,1,"['minecraft-java-edition', 'mod-identification']",True,False
Why isn't this command block (the one circled in red) working?,401610,VeryHotClara,298211,Feb 14 at 5:56,0,47,0,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
How do I unlock chests with an eyeball on it?,401608,Oast,282847,Feb 14 at 4:35,18,4k,1,['genshin-impact'],False,False
How do I open doors/chests that I can't find the key for?,401603,Phoenix Dreaming,298862,Feb 13 at 18:20,2,115,1,['zelda-breath-of-the-wild'],False,False
How do I make it so that a command only runs when I'm at a certain position,401601,VeryHotClara,298211,Feb 13 at 7:45,0,56,1,['puzzle-spy'],False,False
Missing an ingredient for Enhanced Hybrid Oil,401596,Alice Winter,299986,Feb 12 at 22:23,2,43,0,['borderlands-2'],False,False
How do I get the space shuttle launch in Game Boy Tetris?,401595,Paul D. Waite,299986,Feb 12 at 22:14,26,5k,1,['geometry-dash'],False,False
What happened to Elizabeth Peralez' last messages?,401591,Izzy,23188,Feb 12 at 16:14,5,211,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
Where can I find a Ralts in Pokemon X?,401587,Nicholas Bishop-kinlyside,299966,Feb 12 at 9:48,0,47,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Cloud saves ate my local saves [Mass Effect Legendary Edition PC],401586,NorthernArtemis,299962,Feb 12 at 6:53,0,39,0,"['controllers', 'xbox-one', 'windows-10']",False,False
Creating custom textured armour sets,401585,bitcash complex,299957,Feb 12 at 4:52,2,22,0,['enter-the-gungeon'],False,False
"How do I skip the night if villager named ""Josh"" is asleep? [closed]",401582,Robert,299952,Feb 12 at 3:33,0,66,1,['hi-fi-rush'],False,False
How do you get access to the right island in the lego jurassic world game?,401580,Kristen Weeks,299949,Feb 12 at 2:46,1,16,0,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
How to install only Xbox Game Pass games to an external drive on PC?,401579,user67275,299949,Feb 12 at 0:31,1,43,1,['emperor-rise-of-the-middle-kingdom'],False,False
Command blocks not equally affecting all players,401578,Cas,299946,Feb 12 at 0:12,2,27,1,"['agar.io', 'diep.io', 'surviv.io']",True,False
Which mobile racing game featuring a red-roof car is this?,401576,DAF,213338,Feb 11 at 22:49,6,285,1,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
How do I get to this chest behind the revolving statues?,401573,Jeff Mercado,213338,Feb 11 at 11:13,3,459,1,['unity-games'],True,False
How to get a player head using selector? (Java 1.19) [duplicate],401572,Dudunkin,299700,Feb 11 at 11:00,0,24,0,['pokemon-go'],False,False
"How to get Strafers on Navox: Ormos, in Story Sector 2?",401569,Malady,299700,Feb 10 at 23:51,0,18,1,['the-witcher-3'],False,False
How to recover my old Minecraft account? [duplicate],401568,r41nco,299923,Feb 10 at 20:30,1,58,1,['minecraft-bedrock-edition'],False,False
Is it possible to play Kirby: Nightmare in Dreamland (Gba remake) multiplayer with a Nintendo DS? [duplicate],401561,cowgod,46,Feb 9 at 23:31,1,27,0,"['hardware', 'nintendo-ds']",False,False
How do I kill specific items with colored names?,401559,McNoob,299890,Feb 9 at 13:58,0,48,1,"['technical-issues', 'dragonvale']",True,False
How do I send players between servers in Minecraft java?,401550,Tapey,290047,Feb 9 at 1:12,0,50,2,"['linux', 'supertux']",False,False
How to solve the pile riddle in Ace Ventura Game?,401541,Adam,88683,Feb 8 at 11:31,5,75,0,['hogwarts-legacy'],False,False
Is it possible to change audio language?,401540,Skye-AT,282193,Feb 8 at 11:30,2,784,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Friends can't connect to my server with external IP,401538,John,299854,Feb 8 at 10:16,0,50,1,['gamedec'],False,False
How do I get the floating spirit gems in Chapter 5?,401537,Stevoisiak,181240,Feb 8 at 6:24,0,21,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How do I open the gate in Fungi Forest near warp point 5?,401536,Stevoisiak,181240,Feb 8 at 4:30,0,28,0,['game-identification'],True,False
"Mouse doesn't update, nor does screen, in Parsec",401534,Bliss Rae,299833,Feb 7 at 19:20,-1,32,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
How can I build a macro that functions as both spells on one of my talent tree's choice nodes?,401531,Spevacus,242480,Feb 7 at 16:50,0,86,1,['valheim'],False,False
Does the half price star effect get used up if you refuse a star?,401530,Stevoisiak,181240,Feb 7 at 15:58,1,20,0,['the-sims-4'],False,False
Against the Storm passive effects,401529,Harry,17678,Feb 7 at 15:50,1,38,1,['evil-genius-2'],False,False
"What do the stars under ""can produce"" mean in against the storm",401527,Harry,17678,Feb 7 at 15:06,1,49,1,['hogwarts-legacy'],False,False
No furniture bench in main hall despite several attempts,401526,LadyMeme,299826,Feb 7 at 14:46,1,28,0,['hogwarts-legacy'],False,False
Can Frey die in Forspoken?,401525,EffectiveLongJumper,299826,Feb 7 at 14:41,-4,59,0,"['pokemon-series', 'pokemon-second-generation']",False,False
Sonic Origins (2022 video game compilation) for Xbox Series S vs. homemade Raspberry (retro gaming distro) [closed],401522,Sybil,61811,Feb 7 at 4:18,-1,72,1,['minecraft-bedrock-edition'],True,False
How do I activate the Chunky Kong switch outside Gloomy Galleon's entrance?,401521,Stevoisiak,61811,Feb 7 at 0:48,0,44,1,"['ps4', 'controllers']",True,False
What opens the new locked containers on Streets of Tarkov?,401519,chebureki,277996,Feb 6 at 22:35,1,92,1,"['controllers', 'ps5']",False,False
How do melee trades work in halo infinite?,401518,Millard,249046,Feb 6 at 20:10,0,34,0,['steam'],False,False
What Pokemon characteristics are immutable as of gen 9 games?,401515,Oddrigue,245393,Feb 6 at 18:48,3,98,1,['minecraft-java-edition'],False,False
Efficient on-ramp for 2 rail lanes,401513,AnoE,245393,Feb 6 at 13:11,5,72,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
Missing romance dialog option in Greedfall,401506,Roddy of the Frozen Peas,44445,Feb 5 at 21:39,2,30,0,['yu-gi-oh-master-duel'],False,False
My NMM unwarrantedly changed to GOG,401505,Zadekiel Sephirah,26384,Feb 5 at 20:00,0,119,0,['game-identification'],True,False
Why do Pokemon sometimes have dark stripes in Pokemon Go?,401503,Lysander,176959,Feb 5 at 19:25,12,4k,1,['cities-skylines'],False,False
Does Beaver Woodie get poison damage in Hamlet's Gas Rainforest?,401499,GigiSan,299316,Feb 5 at 12:05,1,23,1,['minecraft-bedrock-edition'],False,False
"As a stealth character, why would I use knives?",401498,Oblivious Sage,299316,Feb 5 at 4:54,7,128,0,"['minecraft-commands', 'cheats']",False,False
How can I activate an area of redstone all at once?,401497,Aidan Pastonyck,299746,Feb 5 at 2:55,4,85,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How do i use razor synapse 2 without logging in?,401494,Millard,249046,Feb 4 at 20:38,0,21,0,['minecraft-java-edition'],False,False
Where can I get a bank item to access my bank account on the go?,401492,DragonClawLord,299732,Feb 4 at 16:37,5,249,1,['fifa-18'],True,False
Fix End spawn in playerdata?,401491,Mike,299725,Feb 4 at 14:36,1,27,1,"['pc', 'controllers']",True,False
What is this white rhombus icon on the mini map in Enter the Gungeon?,401489,hb20007,227982,Feb 4 at 10:19,2,76,1,"['minecraft-java-edition', 'mod-identification']",True,False
"How much does ""X damage up"" affect damage?",401488,Kevin,255263,Feb 4 at 7:35,2,41,0,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
How do characters gain XP when I'm not playing as them?,401487,Stevoisiak,255263,Feb 4 at 1:15,3,41,0,['genshin-impact'],False,False
Castlevania Flash fan game does not load anymore,401486,Matheus Dias de Souza,299595,Feb 3 at 22:38,0,40,0,['zelda-breath-of-the-wild'],False,False
"Can I hide the ""Currently In game"" from Steam?",401483,KeyC0de,120546,Feb 3 at 9:43,5,156,1,['puzzle-spy'],False,False
How to use Steam's old Login UI in 2023?,401482,Demon,255387,Feb 3 at 7:16,2,217,0,['borderlands-2'],False,False
Errors in currently selected datapacks prevented the world from loading,401481,JUSTIN175,299677,Feb 3 at 4:46,-1,191,0,['geometry-dash'],False,False
How many stars does one need to reach the maximum levels for each piece of ship hardware that can be upgraded in the hangar?,401479,Franck Dernoncourt,19400,Feb 3 at 0:45,1,25,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
Why bandits are not dead from poison?,401478,user2838376,213351,Feb 2 at 18:24,2,50,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How do I edit a .save file with lots of unknown characters? [closed],401466,ComfyGreenHoodie,299633,Feb 1 at 23:04,2,2k,2,"['controllers', 'xbox-one', 'windows-10']",False,False
Why are map icons missing?,401459,Nolonar,46740,Feb 1 at 14:28,2,162,1,['enter-the-gungeon'],False,False
"Dishonored Definitive Edition(EPIC) changing the INI files doesn't affect the game, am I doing something wrong?",401458,ADHDisDEV,299609,Feb 1 at 12:39,0,60,1,['hi-fi-rush'],False,False
How do I access DLC “collectibles” in Saints Row Reboot?,401457,Margaret,144,Feb 1 at 8:18,2,39,1,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
Does the base damage stat matter for the weapon?,401454,Neon1024,5357,Feb 1 at 0:03,1,59,1,['emperor-rise-of-the-middle-kingdom'],False,False
Identify bundle containing PC remakes of several Sega-related titles [closed],401451,Matheus Dias de Souza,5357,Jan 31 at 20:25,2,128,0,"['agar.io', 'diep.io', 'surviv.io']",True,False
Hint needed on last Spirit of Arkham (Arkham Asylum),401450,Time4Tea,5357,Jan 31 at 18:57,2,58,1,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
Does upgrading walls increase the XP level and start getting stronger opponents for attack and defence?,401442,Guna,5357,Jan 31 at 5:37,0,19,0,['unity-games'],True,False
"If I go straight to Altus Plateau from the start of a new game, are there any quests that fail?",401441,Jason_c_o,13302,Jan 31 at 1:30,2,65,0,['pokemon-go'],False,False
What are the black bugs that come from defeated enemies?,401438,Stevoisiak,181240,Jan 30 at 23:56,1,56,1,['the-witcher-3'],False,False
Make snowballs damage using data merge,401436,Aceplante,181240,Jan 30 at 20:42,1,42,0,['minecraft-bedrock-edition'],False,False
Are items marked stolen un-marked after confiscation?,401435,William Walker III,269248,Jan 30 at 20:28,7,82,1,"['hardware', 'nintendo-ds']",False,False
Is there a way to add a black outline to text in Kingdom Come Deliverance?,401433,user9564371,208952,Jan 30 at 19:03,5,24,0,"['technical-issues', 'dragonvale']",True,False
How to export a height map of my world map?,401430,aslum,1804,Jan 30 at 18:25,1,18,0,"['linux', 'supertux']",False,False
Can I check how many stamps I've collected in Mementos?,401429,king14nyr,122225,Jan 30 at 18:10,3,961,1,['hogwarts-legacy'],False,False
How do I beat Sly in Godhome?,401428,Carl papa,299557,Jan 30 at 17:29,0,43,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How to restore CC Files for geometry dash?,401427,xinoph,299556,Jan 30 at 17:06,0,16,0,['gamedec'],False,False
Why aren’t I getting any new blocks or items in the new snapshots of Minecraft 1.20?,401414,Jimbob Jimbo,299531,Jan 29 at 22:19,1,61,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Xbox Family Safety - Are toddlers really forced to have their own Microsoft account?,401411,Sybil,61811,Jan 29 at 11:49,0,68,1,['game-identification'],True,False
Help! can't run steam through PlayOnMac (2020 MacBook Air M1 8GB RAM),401404,Reece Andersen,61811,Jan 28 at 18:24,1,65,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
How much does Coin Purse increase money from enemies?,401403,Stevoisiak,181240,Jan 28 at 5:52,0,26,0,['valheim'],False,False
"What does the Clown Makeup mean by ""something else""?",401402,Stevoisiak,181240,Jan 28 at 5:48,4,89,0,['the-sims-4'],False,False
WoW Return to Karazhhan: How do you exit the instance?,401401,Harper - Reinstate Monica,181240,Jan 28 at 3:57,1,47,0,['evil-genius-2'],False,False
Xbox controller disconnects immeditely on pc,401399,Gregory Smith,299473,Jan 27 at 22:54,0,29,1,['hogwarts-legacy'],False,False
"How are Mechanical Leg's ""unused dice"" counted with ""You Choose, You Lose"" rules?",401397,Stevoisiak,181240,Jan 27 at 20:41,0,22,1,['hogwarts-legacy'],False,False
What exactly triggers recipe/construction discovery in Valheim?,401396,user985366,124685,Jan 27 at 20:38,3,36,0,"['pokemon-series', 'pokemon-second-generation']",False,False
How do I limit the framerate of GTA 1 so that it doesn't run too fast on my Windows 10 laptop?,401395,A.Steer,294586,Jan 27 at 20:35,2,54,0,['minecraft-bedrock-edition'],True,False
Are Memory Leak's shrinking slots affected by Autoroll?,401393,Stevoisiak,181240,Jan 27 at 20:17,0,11,1,"['ps4', 'controllers']",True,False
Will using equipment with Fury & Sneezy active reroll two dice?,401392,Stevoisiak,181240,Jan 27 at 19:49,0,8,0,"['controllers', 'ps5']",False,False
How long does Four Leaf Clover last?,401391,Stevoisiak,181240,Jan 27 at 18:17,0,9,0,['steam'],False,False
"No Man's Sky, what decides Apollo's fate?",401390,Ꮢedacted,263019,Jan 27 at 16:35,1,42,0,['minecraft-java-edition'],False,False
Temples to cults or gods?,401388,Recently_Created_User,299455,Jan 27 at 13:18,5,88,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
Can you hit the Jackpot while blinded?,401383,Stevoisiak,181240,Jan 27 at 6:28,0,23,0,['yu-gi-oh-master-duel'],False,False
How to enlist the regulators to defend Big Town?,401379,outis,251749,Jan 27 at 0:30,5,67,1,['game-identification'],True,False
How do I make mobs slowly respawn up to a certain cap?,401378,Opllusion,299445,Jan 27 at 0:09,1,53,1,['cities-skylines'],False,False
Can a cart system between 2 spawners work?,401377,Noragus,299445,Jan 26 at 21:49,1,34,1,['minecraft-bedrock-edition'],False,False
Existence of different Super Mario World versions,401374,Aaron Montgomery,272731,Jan 26 at 16:35,1,81,1,"['minecraft-commands', 'cheats']",False,False
Can the Japanese version be played in English?,401373,Morgan,273137,Jan 26 at 14:09,3,112,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
N v2.0 insta-kill on level 8.5,401371,Macho Onion,273137,Jan 26 at 2:45,0,31,1,['minecraft-java-edition'],False,False
World save location [duplicate],401365,hamthenormal,189044,Jan 25 at 17:09,-1,25,0,['fifa-18'],True,False
Playing an old shockwave game integrated with an archived website,401364,SpotXSpot,299404,Jan 25 at 16:35,2,48,0,"['pc', 'controllers']",True,False
How can I disable use of a macro if a spell is on cooldown?,401361,Spevacus,242480,Jan 25 at 1:53,2,153,2,"['minecraft-java-edition', 'mod-identification']",True,False
Is it possible to generate and create your own seed?,401359,Todd,299391,Jan 24 at 23:49,1,66,1,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
How to replace items when I buy another similar item?,401358,ShgOfc,299389,Jan 24 at 23:11,0,33,0,['genshin-impact'],False,False
Why won't my Nacon / Plantronics RIG 800lx headset charge?,401353,Roman Sheydvasser,299384,Jan 24 at 20:41,0,42,1,['zelda-breath-of-the-wild'],False,False
Minecraft doesn't work in friends world,401352,Alexander Benz,299381,Jan 24 at 18:59,-1,18,0,['puzzle-spy'],False,False
Does the music from mk8dx's Electrodome track appear anywhere else?,401350,AdamRaichu,281304,Jan 24 at 16:31,0,34,0,['borderlands-2'],False,False
minecraft /walls command in command block,401346,Purple_Fox,299363,Jan 24 at 10:38,-2,45,0,['geometry-dash'],False,False
What does the Auto icon do?,401344,prout,299363,Jan 24 at 9:10,0,33,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
"Can someone please tell me what game is this? (Red sports car with ""kalipa"" brand stickers outrunning an explosion)",401341,Riaaz Suliman,299358,Jan 24 at 7:20,0,130,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
What can affect the rewards in Spy Missions?,401337,Ben,299358,Jan 24 at 3:30,1,65,1,"['controllers', 'xbox-one', 'windows-10']",False,False
"Among Us runs without any GUI and only has audio, how to fix?",401338,syn1kk,13104,Jan 24 at 1:03,0,41,1,['enter-the-gungeon'],False,False
Manage two Oculus Quest 2,401334,Hannover Fist,126725,Jan 23 at 20:29,0,24,0,['hi-fi-rush'],False,False
What data exactly does Nintendo share with Google Analytics? What is collected there?,401331,Sybil,61811,Jan 23 at 18:13,2,68,0,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
Achievement for consuming tagged item,401327,Aceplante,249240,Jan 23 at 7:48,1,25,1,['emperor-rise-of-the-middle-kingdom'],False,False
What is the music in the DCS World Persian Gulf Map trailer?,401315,JustACoder,299323,Jan 22 at 18:45,2,38,0,"['agar.io', 'diep.io', 'surviv.io']",True,False
Is this Astyanax NES cartridge legit?,401314,Stephan,299309,Jan 22 at 13:57,0,187,1,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
how do i make a sign spawn in a command block with code inside already [duplicate],401313,TotallyNotTeo,270588,Jan 22 at 13:31,0,18,0,['unity-games'],True,False
Start a fire in 4-restaurant,401312,Jovan Radenkovic,270588,Jan 22 at 13:30,1,68,0,['pokemon-go'],False,False
"Minecraft server Time out, despite good internet connection",401307,Raven,299299,Jan 21 at 23:14,0,37,0,['the-witcher-3'],False,False
In what case does the star doubler option appear after losing a game in Sky Force Reloaded?,401306,Franck Dernoncourt,19400,Jan 21 at 20:15,0,22,0,['minecraft-bedrock-edition'],False,False
How are agility scores calculated in Dying Light?,401302,Aaargh Zombies,280883,Jan 21 at 14:24,0,17,0,"['hardware', 'nintendo-ds']",False,False
Discord doesn't show Rich Presence of game run with Flatpak Steam,401301,Quan,297660,Jan 21 at 12:21,0,54,0,"['technical-issues', 'dragonvale']",True,False
"In Diablo 3, what legendary or set armour/weapons are actually account bound?",401300,Senmurv,278611,Jan 21 at 9:49,1,51,0,"['linux', 'supertux']",False,False
Most efficient means of getting water from an aquifer,401299,aslum,1804,Jan 21 at 5:06,2,80,0,['hogwarts-legacy'],False,False
What does Vise Grip do if you use two of the same dice?,401297,Stevoisiak,181240,Jan 21 at 0:05,2,34,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Is damage from Rotten Core rounded up or down?,401295,Stevoisiak,181240,Jan 20 at 21:37,2,22,1,['gamedec'],False,False
"PS1 turns on, plays for a while, then screen begins to glitch. What's happening?",401293,Deko Revinio -leaning away-,181240,Jan 20 at 19:42,1,57,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Are enemies affected by Blind?,401289,Stevoisiak,181240,Jan 20 at 18:20,1,33,1,['game-identification'],True,False
"Does Hook let you reuse ""once per battle"" equipment?",401287,Stevoisiak,181240,Jan 20 at 17:40,1,26,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
Is there a minimum amount of Zen that I should offer to buy on the dilithium exchange?,401283,Sovereign Inquiry,251359,Jan 20 at 15:52,2,41,1,['valheim'],False,False
"Star Trek: Online - If I had the option to purchase these ships, which should I choose?",401282,Sovereign Inquiry,251359,Jan 20 at 14:31,2,73,1,['the-sims-4'],False,False
How many Pokémon were available at the release of Pokémon Go?,401280,BlueMoon93,152248,Jan 20 at 7:06,1,95,1,['evil-genius-2'],False,False
Star Wars: The Old Republic starts up to green screen and hangs,401276,Newbyte,229673,Jan 19 at 22:05,1,123,1,['hogwarts-legacy'],False,False
How can I change the language on the ubisoft store in the Browser from French to Dutch?,401275,Nzall,229673,Jan 19 at 21:04,1,41,1,['hogwarts-legacy'],False,False
"Who are attacking sanctuary, and why?",401273,Paze,299239,Jan 19 at 14:56,3,123,1,"['pokemon-series', 'pokemon-second-generation']",False,False
