Question_ID,Answer_Score,Author_Name,Author_ID,Author_Rep,Number_Of_Comments,Answer_Accepted
401337,3,Skye-AT,282193,"2,852",2,True
401338,2,syn1kk,13104,"1,005",0,False
401334,No answers,No user name,None,No reputation score,0,False
401331,No answers,No user name,None,No reputation score,0,False
401327,0,Aceplante,249240,"1,411",0,True
401315,No answers,No user name,None,No reputation score,0,False
401314,1,BlueRaja - Danny Pflughoeft,2578,46.2k,7,False
401313,4,KnowledgeIsPower,250180,12.2k,3,True
401312,No answers,No user name,None,No reputation score,0,False
401307,No answers,No user name,None,No reputation score,0,False
401306,No answers,No user name,None,No reputation score,0,False
401302,No answers,No user name,None,No reputation score,0,False
401301,No answers,No user name,None,No reputation score,0,False
401300,No answers,No user name,None,No reputation score,0,False
401299,No answers,No user name,None,No reputation score,0,False
401297,1,Stevoisiak,181240,29.8k,0,True
401295,1,Stevoisiak,181240,29.8k,0,True
401293,No answers,No user name,None,No reputation score,0,False
401289,2,pinckerman,87579,31.6k,1,True
401287,1,Stevoisiak,181240,29.8k,0,True
401283,1,Chronocidal,205229,600,1,True
401282,1,Chronocidal,205229,600,7,False
401280,4,Skye-AT,282193,"2,852",1,True
401276,2,Newbyte,229673,393,0,True
401275,1,Batophobia,42984,13.2k,0,False
401273,1,Keltari,42425,275,0,False
401272,6,IronAnvil,186522,"5,661",0,True
401270,5,A.bakker,254398,"1,863",2,True
401268,23,Mark,79745,"2,664",0,True
401264,No answers,No user name,None,No reputation score,0,False
401263,No answers,No user name,None,No reputation score,0,False
401260,4,Andreas,204327,233,0,False
401257,4,clbx,210562,155,2,True
401254,4,Izayuh,146748,"1,370",1,False
401253,No answers,No user name,None,No reputation score,0,False
401251,35,qazmlpok,211554,"1,125",4,True
401248,5,qazmlpok,211554,"1,125",0,True
401247,0,vinzzz001,296788,243,0,False
401244,2,Juan Carlos Oropeza,137425,163,0,True
401243,5,qazmlpok,211554,"1,125",1,True
401241,1,Plagiatus,172377,"1,283",4,True
401235,No answers,No user name,None,No reputation score,0,False
401232,0,Jmooroof,262686,310,0,False
401231,1,pinckerman,87579,31.6k,0,False
401229,No answers,No user name,None,No reputation score,0,False
401227,0,Michael Evi,299410,1,0,False
401226,0,A.bakker,254398,"1,863",0,False
401225,8,DadeKuma,299141,196,0,True
401224,6,Leo S.,279380,800,2,True
401221,0,Blip8637,299125,11,0,False
401220,No answers,No user name,None,No reputation score,0,False
401219,0,carsonwltz,299160,1,0,False
401211,0,clbx,210562,155,0,False
401209,No answers,No user name,None,No reputation score,0,False
401208,No answers,No user name,None,No reputation score,0,False
401207,4,TheGamer007,219313,463,0,True
401201,No answers,No user name,None,No reputation score,0,False
401200,114,Invader Skoodge,1719,62.3k,9,True
401198,1,Sistav,299184,11,1,False
401195,1,Timmy Jim,163757,51k,0,False
401192,1,Turamarth,294376,231,0,True
401187,2,FracturedMentality,299020,31,1,True
401186,No answers,No user name,None,No reputation score,0,False
401184,3,A.bakker,254398,"1,863",11,False
401182,No answers,No user name,None,No reputation score,0,False
401181,0,Plagiatus,172377,"1,283",0,False
401180,No answers,No user name,None,No reputation score,0,False
401175,No answers,No user name,None,No reputation score,0,False
401174,No answers,No user name,None,No reputation score,0,False
401172,No answers,No user name,None,No reputation score,0,False
401170,0,aphid,148546,"8,115",0,False
401162,No answers,No user name,None,No reputation score,0,False
401161,1,Stevoisiak,181240,29.8k,0,True
401159,2,Amy B,9192,22.2k,0,True
401153,No answers,No user name,None,No reputation score,0,False
401152,1,Diego Penha,298959,134,0,True
401144,No answers,No user name,None,No reputation score,0,False
401142,2,A.bakker,254398,"1,863",0,True
401141,No answers,No user name,None,No reputation score,0,False
401139,2,Stevoisiak,181240,29.8k,0,True
401137,1,Stevoisiak,181240,29.8k,0,True
401135,0,Stevoisiak,181240,29.8k,0,True
401134,1,Aceplante,249240,"1,411",0,False
401133,No answers,No user name,None,No reputation score,0,False
401132,0,Plagiatus,172377,"1,283",0,False
401130,0,Aceplante,249240,"1,411",0,False
401128,No answers,No user name,None,No reputation score,0,False
401126,No answers,No user name,None,No reputation score,0,False
401123,4,Toomai,12939,17.6k,0,False
401122,No answers,No user name,None,No reputation score,0,False
401120,No answers,No user name,None,No reputation score,0,False
401112,1,Samstercraft,297576,84,2,False
401111,2,Sellyme,46054,923,0,True
401110,1,pinckerman,87579,31.6k,0,False
401108,No answers,No user name,None,No reputation score,0,False
401107,3,Kevin,91981,"4,892",0,True
401106,No answers,No user name,None,No reputation score,0,False
401105,0,amalloy,9729,157,0,False
401102,No answers,No user name,None,No reputation score,0,False
401101,No answers,No user name,None,No reputation score,0,False
401100,0,Joachim,222022,16.9k,0,False
401098,No answers,No user name,None,No reputation score,0,False
401093,3,game writer guy,178195,96,1,False
401091,No answers,No user name,None,No reputation score,0,False
401090,1,Aceplante,249240,"1,411",0,True
401088,1,wutadam,295975,71,0,True
401087,No answers,No user name,None,No reputation score,0,False
401086,5,Иво Недев,132203,13.2k,1,False
401082,1,aytimothy,75275,16.3k,1,False
401079,2,MonkeyZeus,97087,"1,532",0,False
401077,6,Smeerpijp,125708,"1,484",1,False
401073,0,pinckerman,87579,31.6k,2,True
401070,1,pinckerman,87579,31.6k,2,True
401065,1,EpicPuppy613,281341,136,0,True
401063,2,slink,271307,329,0,False
401061,1,vinzzz001,296788,243,4,False
401058,No answers,No user name,None,No reputation score,0,False
401056,No answers,No user name,None,No reputation score,0,False
401054,No answers,No user name,None,No reputation score,0,False
401053,No answers,No user name,None,No reputation score,0,False
401049,No answers,No user name,None,No reputation score,0,False
401041,1,kaimo,298725,126,0,True
401036,57,Wondercricket,124566,46.8k,7,True
401029,0,Sayed Mohd Ali,238255,121,0,True
401025,0,vulcan_,298685,101,2,False
401024,No answers,No user name,None,No reputation score,0,False
401021,No answers,No user name,None,No reputation score,0,False
401018,No answers,No user name,None,No reputation score,0,False
401016,No answers,No user name,None,No reputation score,0,False
401015,No answers,No user name,None,No reputation score,0,False
401014,2,pinckerman,87579,31.6k,0,False
401011,No answers,No user name,None,No reputation score,0,False
401010,1,Aceplante,249240,"1,411",0,False
401009,-1,Alan H.,19589,721,0,False
401005,7,pinckerman,87579,31.6k,0,True
401000,No answers,No user name,None,No reputation score,0,False
400999,0,pinckerman,87579,31.6k,0,False
400994,-1,Mr_BluE,222010,1,2,False
400992,1,Sayed Mohd Ali,238255,121,0,False
400990,0,andreszs,292865,151,0,False
400989,No answers,No user name,None,No reputation score,0,False
400988,No answers,No user name,None,No reputation score,0,False
400987,0,Dr-Bracket,234412,314,0,False
400986,0,Leandro Bardelli,15303,799,0,False
400982,2,Aceplante,249240,"1,411",0,True
400977,No answers,No user name,None,No reputation score,0,False
400972,8,Timmy Jim,163757,51k,5,True
400967,4,Wondercricket,124566,46.8k,1,True
400964,0,Chronocidal,205229,600,0,False
400957,1,BlueRaja - Danny Pflughoeft,2578,46.2k,4,True
400955,3,Timmy Jim,163757,51k,2,True
400953,2,Chrᴉz remembers Monica,268054,"1,219",0,False
400951,1,Ꮢedacted,263019,"3,871",0,False
400947,No answers,No user name,None,No reputation score,0,False
400945,37,Toby Y.,139617,836,3,True
400943,No answers,No user name,None,No reputation score,0,False
400941,0,Aceplante,249240,"1,411",0,False
400934,1,pinckerman,87579,31.6k,0,True
400933,No answers,No user name,None,No reputation score,0,False
400931,No answers,No user name,None,No reputation score,0,False
400928,1,Stevoisiak,181240,29.8k,0,True
400927,No answers,No user name,None,No reputation score,0,False
400926,No answers,No user name,None,No reputation score,0,False
400925,No answers,No user name,None,No reputation score,0,False
400922,No answers,No user name,None,No reputation score,0,False
400921,2,Ꮢedacted,263019,"3,871",0,True
400920,No answers,No user name,None,No reputation score,0,False
400918,0,Jake Lee,16503,266,0,True
400917,No answers,No user name,None,No reputation score,0,False
400916,No answers,No user name,None,No reputation score,0,False
400915,No answers,No user name,None,No reputation score,0,False
400910,16,Joachim,222022,16.9k,0,False
400909,No answers,No user name,None,No reputation score,0,False
400908,1,Stevoisiak,181240,29.8k,0,True
400907,No answers,No user name,None,No reputation score,0,False
400906,No answers,No user name,None,No reputation score,0,False
400900,No answers,No user name,None,No reputation score,0,False
400895,0,bco2135,296120,91,0,False
400890,No answers,No user name,None,No reputation score,0,False
400886,No answers,No user name,None,No reputation score,0,False
400885,No answers,No user name,None,No reputation score,0,False
400882,5,Jake Lee,16503,266,0,True
400878,2,Timmy Jim,163757,51k,0,True
400877,No answers,No user name,None,No reputation score,0,False
400874,No answers,No user name,None,No reputation score,0,False
400873,No answers,No user name,None,No reputation score,0,False
400872,1,nondebug,195196,531,2,True
400866,4,zdimension,298317,175,0,False
400865,3,pppery,185203,"3,675",1,True
400863,No answers,No user name,None,No reputation score,0,False
400855,0,Blag,171238,159,0,False
400854,0,Blue Robin,267416,456,2,True
400851,No answers,No user name,None,No reputation score,0,False
400847,1,aytimothy,75275,16.3k,0,True
400845,24,user9983,None,No reputation score,3,True
400844,0,Blue Robin,267416,456,0,False
400842,1,Joachim,222022,16.9k,0,False
400839,1,Ꮢedacted,263019,"3,871",0,False
400836,11,Paul Z,8901,"6,922",1,False
400835,1,Timmy Jim,163757,51k,0,False
400832,No answers,No user name,None,No reputation score,0,False
400829,2,Joachim,222022,16.9k,3,True
400827,No answers,No user name,None,No reputation score,0,False
400823,0,pinckerman,87579,31.6k,0,False
400818,1,qazmlpok,211554,"1,125",0,False
400817,No answers,No user name,None,No reputation score,0,False
400816,No answers,No user name,None,No reputation score,0,False
400814,2,Wondercricket,124566,46.8k,3,True
400813,No answers,No user name,None,No reputation score,0,False
400812,No answers,No user name,None,No reputation score,0,False
400806,0,galacticninja,4797,44.2k,0,False
400805,0,mvanb,280798,41,0,True
400804,1,Chronocidal,205229,600,0,True
400801,1,Blue Robin,267416,456,0,True
400800,No answers,No user name,None,No reputation score,0,False
400796,1,pinckerman,87579,31.6k,0,False
400794,No answers,No user name,None,No reputation score,0,False
400793,2,xyldke,291025,381,2,True
400789,No answers,No user name,None,No reputation score,0,False
400787,2,aphid,148546,"8,115",0,False
400786,No answers,No user name,None,No reputation score,0,False
400783,1,qazmlpok,211554,"1,125",1,True
400780,0,Skye-AT,282193,"2,852",0,True
400776,2,CodeAsm,201820,86,3,True
400775,No answers,No user name,None,No reputation score,0,False
400767,No answers,No user name,None,No reputation score,0,False
400764,No answers,No user name,None,No reputation score,0,False
400762,3,KnowledgeIsPower,250180,12.2k,2,False
400761,1,user176681,None,No reputation score,0,False
400756,0,Stevoisiak,181240,29.8k,0,True
400755,No answers,No user name,None,No reputation score,0,False
400752,2,Skye-AT,282193,"2,852",0,True
400751,No answers,No user name,None,No reputation score,0,False
400743,No answers,No user name,None,No reputation score,0,False
400742,No answers,No user name,None,No reputation score,0,False
400740,3,trappski,56263,428,0,True
400739,No answers,No user name,None,No reputation score,0,False
400737,0,Jeff Mercado,8995,20.6k,0,True
400736,0,Neon1024,5357,25k,0,True
400730,1,Trish,266307,481,0,False
400729,No answers,No user name,None,No reputation score,0,False
400727,No answers,No user name,None,No reputation score,0,False
400724,No answers,No user name,None,No reputation score,0,False
400723,0,hb20007,227982,271,0,True
400722,No answers,No user name,None,No reputation score,0,False
400721,No answers,No user name,None,No reputation score,0,False
400720,2,Trish,266307,481,0,True
400718,1,pppery,185203,"3,675",10,True
400713,No answers,No user name,None,No reputation score,0,False
400708,0,Semlan Bakelsen,268353,"1,143",0,False
400706,1,Stevoisiak,181240,29.8k,1,True
400704,No answers,No user name,None,No reputation score,0,False
400699,2,Timmy Jim,163757,51k,1,False
400697,2,BunnyMerz,237019,"1,669",0,True
400694,0,Stevoisiak,181240,29.8k,0,True
400693,No answers,No user name,None,No reputation score,0,False
400692,No answers,No user name,None,No reputation score,0,False
400687,1,Jake Lee,16503,266,0,False
400684,0,Stevoisiak,181240,29.8k,0,True
400681,No answers,No user name,None,No reputation score,0,False
400680,No answers,No user name,None,No reputation score,0,False
400677,0,Stevoisiak,181240,29.8k,0,True
400676,2,Jake Lee,16503,266,0,True
400675,No answers,No user name,None,No reputation score,0,False
400674,No answers,No user name,None,No reputation score,0,False
400673,1,pinckerman,87579,31.6k,0,True
400670,4,qazmlpok,211554,"1,125",0,True
400665,No answers,No user name,None,No reputation score,0,False
400664,No answers,No user name,None,No reputation score,0,False
400663,6,Sellyme,46054,923,0,True
400661,No answers,No user name,None,No reputation score,0,False
400660,No answers,No user name,None,No reputation score,0,False
400654,No answers,No user name,None,No reputation score,0,False
400652,No answers,No user name,None,No reputation score,0,False
400648,No answers,No user name,None,No reputation score,0,False
400645,1,Larnu,203379,117,1,False
400644,1,Timmy Jim,163757,51k,2,True
400640,No answers,No user name,None,No reputation score,0,False
400639,3,Showsni,235115,"1,334",0,True
400638,0,GreatGaja,297941,1,0,False
400634,10,Timmy Jim,163757,51k,4,False
400631,2,Ilmari Karonen,13833,"4,776",0,True
400628,1,Mike Blecha,299036,111,0,False
400627,0,Kurru,5818,543,0,False
400624,0,Elizabeth Stride,298866,1,1,False
400623,1,KnowledgeIsPower,250180,12.2k,0,False
400620,2,Showsni,235115,"1,334",4,False
400617,No answers,No user name,None,No reputation score,0,False
400616,2,tjd,91501,"4,942",1,True
400615,No answers,No user name,None,No reputation score,0,False
400614,No answers,No user name,None,No reputation score,0,False
400613,No answers,No user name,None,No reputation score,0,False
400612,1,Blorpal,298022,21,0,False
400611,No answers,No user name,None,No reputation score,0,False
400608,28,Stevoisiak,181240,29.8k,0,True
400605,1,Eric,41200,"2,767",0,True
400602,0,brimstone,298104,1,0,False
400597,22,Nick S,213647,"2,954",2,True
400587,1,zibadawa timmy,242293,220,0,True
400584,1,Nick S,213647,"2,954",1,True
400582,No answers,No user name,None,No reputation score,0,False
400578,1,lizardpeter,268023,46,0,False
400576,No answers,No user name,None,No reputation score,0,False
400575,8,Paul Z,8901,"6,922",0,True
400574,0,Samstercraft,297576,84,2,False
400571,2,Ben,73976,40.8k,0,True
400570,1,DevAir1,226516,777,0,False
400569,No answers,No user name,None,No reputation score,0,False
400568,No answers,No user name,None,No reputation score,0,False
400567,No answers,No user name,None,No reputation score,0,False
400565,0,Stevoisiak,181240,29.8k,0,True
400561,1,Rapitor,47011,22.7k,1,True
400555,No answers,No user name,None,No reputation score,0,False
400554,2,tjd,91501,"4,942",3,True
400553,No answers,No user name,None,No reputation score,0,False
400549,1,AzulShiva,168977,611,3,False
400546,25,pinckerman,87579,31.6k,6,False
400544,2,AzulShiva,168977,611,0,False
400542,0,Nuro007,295629,11,0,False
400539,No answers,No user name,None,No reputation score,0,False
400538,35,Matthew Read,6066,19.2k,2,True
400536,1,Neon1024,5357,25k,0,True
400535,No answers,No user name,None,No reputation score,0,False
400534,12,user3389,None,No reputation score,5,True
400530,1,pinckerman,87579,31.6k,0,False
400528,No answers,No user name,None,No reputation score,0,False
400525,2,BunnyMerz,237019,"1,669",0,True
400518,No answers,No user name,None,No reputation score,0,False
400517,No answers,No user name,None,No reputation score,0,False
400515,3,Gucchi,297696,49,0,True
400514,3,Thomas Ward,7835,143,0,True
400510,3,Ladineko,41744,601,1,True
400509,2,TechnoSam,76011,509,0,False
400505,4,Samstercraft,297576,84,4,False
400503,0,Stevoisiak,181240,29.8k,0,True
400502,No answers,No user name,None,No reputation score,0,False
400497,0,Quan,297660,41,0,False
400483,2,Mathias711,80141,23k,0,True
400482,0,Stevoisiak,181240,29.8k,0,True
400480,1,Stevoisiak,181240,29.8k,0,True
400477,17,Paul O.,127830,"2,808",4,True
400476,No answers,No user name,None,No reputation score,0,False
400475,No answers,No user name,None,No reputation score,0,False
400464,7,IceFreez3r,258282,578,4,True
400454,2,Skye-AT,282193,"2,852",2,True
400453,-1,Timmetje,63251,111,1,False
400452,2,Ꮢedacted,263019,"3,871",0,True
400450,15,Timmy Jim,163757,51k,1,True
400449,No answers,No user name,None,No reputation score,0,False
400446,2,Wondercricket,124566,46.8k,0,True
400445,6,Brade,253677,358,1,True
400444,No answers,No user name,None,No reputation score,0,False
400441,3,54D,79435,"4,827",0,False
400439,0,Stevoisiak,181240,29.8k,0,True
400438,No answers,No user name,None,No reputation score,0,False
400436,No answers,No user name,None,No reputation score,0,False
400435,No answers,No user name,None,No reputation score,0,False
400432,No answers,No user name,None,No reputation score,0,False
400430,1,Samstercraft,297576,84,0,True
400427,0,Neon1024,5357,25k,0,True
400426,3,Arle Camille,67243,"1,673",0,True
400425,No answers,No user name,None,No reputation score,0,False
400423,No answers,No user name,None,No reputation score,0,False
400421,0,Samstercraft,297576,84,0,False
400415,3,Ꮢedacted,263019,"3,871",0,True
400414,8,Mixxiphoid,108757,"3,254",2,True
400410,-2,Albert F D,279513,220,2,True
400409,1,Spencer Nold,215449,11,0,False
400408,No answers,No user name,None,No reputation score,0,False
400406,1,mhchem,297493,137,0,True
400403,No answers,No user name,None,No reputation score,0,False
400400,3,Comic Sans Seraphim,53291,43.3k,0,False
400398,0,Rapitor,47011,22.7k,0,True
400397,0,e2ne0,298503,1,2,False
400395,No answers,No user name,None,No reputation score,0,False
400393,No answers,No user name,None,No reputation score,0,False
400389,0,Stevoisiak,181240,29.8k,0,True
400387,2,aphid,148546,"8,115",7,True
400384,No answers,No user name,None,No reputation score,0,False
400381,1,Giacomo1968,50786,308,0,False
400379,0,Neon1024,5357,25k,0,True
400378,No answers,No user name,None,No reputation score,0,False
400377,8,Paul O.,127830,"2,808",0,True
400374,4,Wondercricket,124566,46.8k,0,False
400369,1,Leo S.,279380,800,0,True
400367,0,Stevoisiak,181240,29.8k,0,True
400366,2,qazmlpok,211554,"1,125",0,False
400365,No answers,No user name,None,No reputation score,0,False
400362,No answers,No user name,None,No reputation score,0,False
400360,-1,TechnoSam,76011,509,4,False
400358,No answers,No user name,None,No reputation score,0,False
400354,No answers,No user name,None,No reputation score,0,False
400348,1,vinzzz001,296788,243,2,False
400340,No answers,No user name,None,No reputation score,0,False
400339,No answers,No user name,None,No reputation score,0,False
400338,0,Stevoisiak,181240,29.8k,0,True
400337,53,Peter,10262,"3,554",3,False
400334,1,pinckerman,87579,31.6k,0,True
400333,1,galacticninja,4797,44.2k,0,False
400332,4,Skye-AT,282193,"2,852",7,True
400328,1,pinckerman,87579,31.6k,0,True
400325,2,Albert F D,279513,220,2,True
400323,1,Blorpal,298022,21,2,False
400321,No answers,No user name,None,No reputation score,0,False
400315,No answers,No user name,None,No reputation score,0,False
400314,7,jwezorek,297336,251,0,True
400313,0,Wipqozn,8350,45k,0,True
400310,72,community wiki,None,No reputation score,3,True
400309,5,Donniel Thomas,5702,395,0,True
400306,4,TechnoSam,76011,509,4,True
400305,No answers,No user name,None,No reputation score,0,False
400304,No answers,No user name,None,No reputation score,0,False
400303,0,Mike Caron,77380,357,0,False
400299,14,Neon1024,5357,25k,0,True
400298,No answers,No user name,None,No reputation score,0,False
400288,0,Leo Jebran,243172,109,0,True
400287,1,mmatthews,73786,"2,500",0,False
400283,1,Semlan Bakelsen,268353,"1,143",0,False
400282,9,pinckerman,87579,31.6k,3,True
400281,No answers,No user name,None,No reputation score,0,False
400278,No answers,No user name,None,No reputation score,0,False
400272,3,pinckerman,87579,31.6k,4,True
400270,No answers,No user name,None,No reputation score,0,False
400265,No answers,No user name,None,No reputation score,0,False
400262,1,Federico,100233,"1,970",0,False
400261,No answers,No user name,None,No reputation score,0,False
400260,1,Ꮢedacted,263019,"3,871",1,True
400258,2,Kcats,24472,"7,755",1,True
400257,1,Phoenix Dreaming,298862,57,1,False
400254,No answers,No user name,None,No reputation score,0,False
400253,2,KnowledgeIsPower,250180,12.2k,1,True
400252,3,Ben,73976,40.8k,1,True
400247,3,Lexibutt,243520,737,1,False
400244,5,pinckerman,87579,31.6k,7,True
400243,1,wutadam,295975,71,1,True
400242,0,Exal,194805,659,0,False
400240,No answers,No user name,None,No reputation score,0,False
400239,No answers,No user name,None,No reputation score,0,False
400238,No answers,No user name,None,No reputation score,0,False
400237,2,AngryCoder,297194,61,2,True
400234,No answers,No user name,None,No reputation score,0,False
400221,6,pinckerman,87579,31.6k,0,False
400219,3,Phoenix,242085,515,0,False
400215,6,scoso,287482,441,1,True
400214,No answers,No user name,None,No reputation score,0,False
